Track,Artist,Position,Last,Peak,Weeks,Year,Month,Week
Smooth,Santana Featuring Rob Thomas,1,1,1,23,2000,1,1
Back At One,Brian McKnight,2,2,2,19,2000,1,1
I Wanna Love You Forever,Jessica Simpson,3,3,3,12,2000,1,1
My Love Is Your Love,Whitney Houston,4,5,4,18,2000,1,1
I Knew I Loved You,Savage Garden,5,4,4,11,2000,1,1
I Need To Know,Marc Anthony,6,6,3,17,2000,1,1
Hot Boyz,"Missy &quot;Misdemeanor&quot; Elliott Featuring NAS, EVE & Q-Tip",7,7,7,6,2000,1,1
U Know What's Up,Donell Jones,8,8,7,15,2000,1,1
Bring It All To Me,Blaque,9,9,9,11,2000,1,1
Girl On TV,LFO,10,11,10,7,2000,1,1
What A Girl Wants,Christina Aguilera,11,13,11,6,2000,1,1
24/7,Kevon Edmonds,12,10,10,9,2000,1,1
Blue (Da Ba Dee),Eiffel 65,13,16,13,4,2000,1,1
Then The Morning Comes,Smash Mouth,14,14,14,10,2000,1,1
He Can't Love U,Jagged Edge,15,17,15,4,2000,1,1
Waiting For Tonight,Jennifer Lopez,16,12,8,12,2000,1,1
That's The Way It Is,Celine Dion,17,30,17,8,2000,1,1
The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,18,47,18,3,2000,1,1
Dancin',Guy,19,29,19,3,2000,1,1
Steal My Sunshine,Len,20,15,9,21,2000,1,1
Get It On Tonite,Montell Jordan,21,24,21,11,2000,1,1
Learn To Fly,Foo Fighters,22,22,22,12,2000,1,1
Big Deal,LeAnn Rimes,23,26,23,12,2000,1,1
Meet Virginia,Train,24,21,21,13,2000,1,1
Unpretty,TLC,25,20,1,28,2000,1,1
Breathe,Faith Hill,26,28,26,9,2000,1,1
Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,27,25,19,26,2000,1,1
"4, 5, 6",Sole Featuring JT Money & Kandi,28,23,21,10,2000,1,1
Stay The Night,IMx,29,36,29,13,2000,1,1
Don't Say You Love Me,M2M,30,44,30,7,2000,1,1
Where My Girls At?,702,31,19,4,36,2000,1,1
Mambo No. 5 (A Little Bit Of...),Lou Bega,32,18,3,19,2000,1,1
Hanginaround,Counting Crows,33,35,33,9,2000,1,1
Take A Picture,Filter,34,38,34,6,2000,1,1
Get Gone,Ideal,35,27,13,20,2000,1,1
Someday,Sugar Ray,36,34,7,27,2000,1,1
He Didn't Have To Be,Brad Paisley,37,31,30,11,2000,1,1
Got Your Money,Ol' Dirty Bastard Featuring Kelis,38,33,33,11,2000,1,1
Shake Your Bon-Bon,Ricky Martin,39,39,39,7,2000,1,1
If You Love Me,Mint Condition,40,40,30,9,2000,1,1
Black Balloon,Goo Goo Dolls,41,37,16,26,2000,1,1
Rhythm Divine,Enrique Iglesias,42,67,42,5,2000,1,1
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,43,50,43,4,2000,1,1
Satisfy You,Puff Daddy Featuring R. Kelly,44,32,2,15,2000,1,1
Amazed,Lonestar,45,45,24,22,2000,1,1
What Do You Say,Reba,46,46,46,10,2000,1,1
You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,47,42,42,5,2000,1,1
Cowboy Take Me Away,Dixie Chicks,48,52,48,6,2000,1,1
When I Said I Do,Clint Black,49,41,31,12,2000,1,1
My Best Friend,Tim McGraw,50,54,50,6,2000,1,1
Got To Get It,Sisqo Featuring Make It Hot,51,48,48,7,2000,1,1
All The Small Things,Blink-182,52,59,52,5,2000,1,1
This Gift,98 Degrees,53,-,53,1,2000,1,1
Auld Lang Syne,Kenny G,54,89,54,2,2000,1,1
Angels,Robbie Williams,55,56,55,7,2000,1,1
Say My Name,Destiny's Child,56,83,56,2,2000,1,1
Pop A Top,Alan Jackson,57,55,55,8,2000,1,1
Caught Out There,Kelis,58,63,58,5,2000,1,1
15 Minutes,Marc Nelson,59,43,27,14,2000,1,1
Heartbreaker,Mariah Carey Featuring Jay-Z,60,51,1,18,2000,1,1
Higher,Creed,61,61,52,17,2000,1,1
Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",62,62,36,16,2000,1,1
Will 2K,Will Smith Featuring K-Ci,63,58,25,10,2000,1,1
Deep Inside,Mary J. Blige,64,64,64,8,2000,1,1
All Things Considered,Yankee Grey,65,57,55,16,2000,1,1
I Love You,Martina McBride,66,60,24,19,2000,1,1
Sexual (Li Da Di),Amber,67,69,67,21,2000,1,1
None Of Ur Friends Business,Ginuwine,68,71,68,4,2000,1,1
Deck The Halls,SHeDAISY,69,97,69,2,2000,1,1
Left & Right,D'Angelo Featuring Method Man And Redman,70,75,70,4,2000,1,1
Smile,Lonestar,71,80,71,3,2000,1,1
The Great Beyond,R.E.M.,72,79,72,2,2000,1,1
Bug A Boo,Destiny's Child,73,72,33,15,2000,1,1
Show Me The Meaning Of Being Lonely,Backstreet Boys,74,-,74,1,2000,1,1
We Can't Be Friends,Deborah Cox With R.L.,75,77,8,17,2000,1,1
(You Drive Me) Crazy,Britney Spears,76,53,10,16,2000,1,1
One Night Stand,J-Shin Featuring LaTocha Scott,77,96,77,2,2000,1,1
N 2 Gether Now,Limp Bizkit Featuring Method Man,78,78,78,5,2000,1,1
No More Rain (In This Cloud),Angie Stone,79,86,79,2,2000,1,1
Home To You,John Michael Montgomery,80,68,45,14,2000,1,1
The Chemicals Between Us,Bush,81,73,67,14,2000,1,1
Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,82,84,82,5,2000,1,1
Guerrilla Radio,Rage Against The Machine,83,87,69,10,2000,1,1
"Live, Laugh, Love",Clay Walker,84,94,84,5,2000,1,1
Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,85,88,82,4,2000,1,1
She Thinks My Tractor's Sexy,Kenny Chesney,86,74,74,7,2000,1,1
Larger Than Life,Backstreet Boys,87,70,25,16,2000,1,1
There She Goes,Sixpence None The Richer,88,76,32,17,2000,1,1
The Greatest Romance Ever Sold,Prince,89,92,63,11,2000,1,1
The Rockafeller Skank,Fatboy Slim,90,82,77,24,2000,1,1
Give You What You Want (Fa Sure),Chico DeBarge,91,90,71,11,2000,1,1
Music Of My Heart,'N Sync & Gloria Estefan,92,85,2,18,2000,1,1
A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,93,-,93,1,2000,1,1
I Wanna Know,Joe,94,-,94,1,2000,1,1
Re-arranged,Limp Bizkit,95,95,90,5,2000,1,1
L.A. Song,Beth Hart,96,99,96,6,2000,1,1
Gotta Man,Eve,97,66,26,16,2000,1,1
The Quittin' Kind,Joe Diffie,98,-,98,1,2000,1,1
Steam,Ty Herndon,99,91,83,12,2000,1,1
NAStradamus,Nas,100,100,92,6,2000,1,1
G'd Up,Snoop Dogg Presents Tha Eastsidaz,77,-,77,1,2000,1,8
All I Want For Christmas Is You,Mariah Carey,83,-,83,1,2000,1,8
Love Is Blind,Eve Featuring Faith Evans,94,-,94,1,2000,1,8
The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",97,-,97,1,2000,1,8
Falls Apart,Sugar Ray,70,-,70,1,2000,1,15
Back At One,Mark Wills,89,-,89,1,2000,1,15
Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,95,-,95,1,2000,1,15
What's My Name,DMX,98,-,98,1,2000,1,15
Never Let You Go,Third Eye Blind,65,-,65,1,2000,1,22
It Feels So Good,Sonique,67,-,67,1,2000,1,22
Everything You Want,Vertical Horizon,70,-,70,1,2000,1,22
Breathe And Stop,Q-Tip,71,-,71,1,2000,1,22
Forgot About Dre,Dr. Dre Featuring Eminem,75,-,75,1,2000,1,22
Untitled (How Does It Feel),D'Angelo,77,-,77,1,2000,1,22
Smoke Rings In The Dark,Gary Allan,80,-,80,1,2000,1,22
Bye Bye Bye,'N Sync,42,-,42,1,2000,1,29
The Best Day,George Strait,73,-,73,1,2000,1,29
Thong Song,Sisqo,74,-,74,1,2000,1,29
"Tricky, Tricky",Lou Bega,75,-,75,1,2000,1,29
From The Bottom Of My Broken Heart,Britney Spears,76,-,76,1,2000,1,29
How Do You Like Me Now?!,Toby Keith,77,-,77,1,2000,1,29
Lessons Learned,Tracy Lawrence,80,-,80,1,2000,1,29
Put Your Hand In Mine,Tracy Byrd,81,-,81,1,2000,1,29
Because You Love Me,Jo Dee Messina,83,-,83,1,2000,1,29
I Don't Wanna,Aaliyah,84,-,84,1,2000,1,29
I Like It,Sammie,85,-,85,1,2000,1,29
Love's The Only House,Martina McBride,79,-,79,1,2000,2,5
This Woman Needs,SHeDAISY,82,-,82,1,2000,2,5
U Understand,Juvenile,85,-,85,1,2000,2,5
Candy,Mandy Moore,93,-,41,15,2000,2,5
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,99,-,93,5,2000,2,5
Maria Maria,Santana Featuring The Product G&B,15,-,15,1,2000,2,12
Dear Lie,TLC,63,-,63,1,2000,2,12
Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,65,-,65,1,2000,2,12
Otherside,Red Hot Chili Peppers,80,-,80,1,2000,2,12
No Leaf Clover,Metallica,86,-,86,1,2000,2,12
Freakin' It,Will Smith,99,-,99,1,2000,2,12
"Left, Right, Left",Drama,100,-,100,1,2000,2,12
American Pie,Madonna,43,-,43,1,2000,2,19
Only God Knows Why,Kid Rock,63,-,63,1,2000,2,19
I Try,Macy Gray,68,-,68,1,2000,2,19
Another Dumb Blonde,Hoku,69,-,69,1,2000,2,19
I Need A Hot Girl,Hot Boys,77,-,77,1,2000,2,19
Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,79,-,79,1,2000,2,19
I Learned From The Best,Whitney Houston,83,-,83,1,2000,2,19
Do What You Gotta Do,Garth Brooks,86,-,86,1,2000,2,19
Been There,Clint Black With Steve Wariner,87,-,87,1,2000,2,19
Anything,JAY-Z,72,-,72,1,2000,2,26
You Sang To Me,Marc Anthony,77,-,77,1,2000,2,26
Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,87,-,87,1,2000,2,26
Party Up (Up In Here),DMX,88,-,88,1,2000,2,26
That's What I'm Looking For,Da Brat,93,-,93,1,2000,2,26
Stay Or Let It Go,Brian McKnight,95,-,95,1,2000,2,26
There You Go,P!nk,25,-,25,1,2000,3,4
Carlene,Phil Vassar,75,-,75,1,2000,3,4
Whoa!,Black Rob,78,-,78,1,2000,3,4
U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,81,-,81,1,2000,3,4
It Was,Chely Wright,86,-,86,1,2000,3,4
Daddy Won't Sell The Farm,Montgomery Gentry,87,-,87,1,2000,3,4
Still In My Heart,Tracie Spencer,95,-,95,1,2000,3,4
Get Up,Amel Larrieux,100,-,100,1,2000,3,4
Private Emotion,Ricky Martin Featuring Meja,76,-,76,1,2000,3,11
Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,79,-,79,1,2000,3,11
The Way You Love Me,Faith Hill,80,-,80,1,2000,3,11
She's More,Andy Griggs,81,-,81,1,2000,3,11
Goodbye Earl,Dixie Chicks,40,-,40,1,2000,3,18
Try Again,Aaliyah,59,-,59,1,2000,3,18
He Wasn't Man Enough,Toni Braxton,63,-,63,1,2000,3,18
The Bad Touch,Bloodhound Gang,70,-,70,1,2000,3,18
Mr. Too Damn Good,Gerald Levert,84,-,84,1,2000,3,18
"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,86,-,86,1,2000,3,18
Couldn't Last A Moment,Collin Raye,91,-,91,1,2000,3,18
Whistle While You Twurk,Ying Yang Twins,95,-,95,1,2000,3,18
No Mercy,Ty Herndon,100,-,100,1,2000,3,18
You Owe Me,NAS Featuring Ginuwine,74,-,74,1,2000,3,25
I Wish,Carl Thomas,75,-,75,1,2000,3,25
I Belong To You,Lenny Kravitz,78,-,78,1,2000,3,25
Can't Stay,Dave Hollister,84,-,84,1,2000,3,25
Shackles (Praise You),Mary Mary,90,-,90,1,2000,3,25
Unconditional,Clay Davidson,97,-,97,1,2000,3,25
If You Don't Wanna Love Me,Tamar Braxton,98,-,98,1,2000,3,25
Be With You,Enrique Iglesias,63,-,63,1,2000,4,1
Where You Are,Jessica Simpson Featuring Nick Lachey,73,-,73,1,2000,4,1
What I Need To Do,Kenny Chesney,79,-,79,1,2000,4,1
Real Live Woman,Trisha Yearwood,85,-,85,1,2000,4,1
Mirror Mirror,M2M,87,-,87,1,2000,4,1
I'm Outta Love,Anastacia,92,-,92,1,2000,4,1
Swear It Again,Westlife,96,-,96,1,2000,4,1
Crash And Burn,Savage Garden,75,-,75,1,2000,4,8
Better Off Alone,Alice Deejay,79,-,79,1,2000,4,8
Purest Of Pain (A Puro Dolor),Son By Four,80,-,80,1,2000,4,8
Kryptonite,3 Doors Down,81,-,81,1,2000,4,8
Yes!,Chad Brock,90,-,90,1,2000,4,8
I Turn To You,Christina Aguilera,50,-,50,1,2000,4,15
Wobble Wobble,504 Boyz,57,-,57,1,2000,4,15
I Don't Wanna Kiss You Goodnight,LFO,63,-,63,1,2000,4,15
The Chain Of Love,Clay Walker,73,-,73,1,2000,4,15
Graduation (Friends Forever),Vitamin C,81,-,81,1,2000,4,15
Best Of Me,Mya Featuring Jadakiss,85,-,85,1,2000,4,15
Give Me You,Mary J. Blige,97,-,97,1,2000,4,15
This Time Around,Hanson,22,-,22,1,2000,4,22
Someday Out Of The Blue,Elton John,56,-,56,1,2000,4,22
Oops!...I Did It Again,Britney Spears,67,-,67,1,2000,4,22
Big Pimpin',Jay-Z Featuring UGK,69,-,69,1,2000,4,22
Broadway,Goo Goo Dolls,74,-,74,1,2000,4,22
Where I Wanna Be,Donell Jones,81,-,81,1,2000,4,22
It's So Hard,Big Punisher Featuring Donell Jones,96,-,96,1,2000,4,22
Bent,matchbox twenty,60,-,60,1,2000,4,29
Separated,Avant,62,-,62,1,2000,4,29
More,Trace Adkins,84,-,84,1,2000,4,29
Another Nine Minutes,Yankee Grey,86,-,86,1,2000,4,29
Flowers On The Wall,Eric Heatherly,95,-,95,1,2000,4,29
Back Here,BBMak,99,-,99,1,2000,4,29
(Hot S**t) Country Grammar,Nelly,100,-,100,1,2000,4,29
The Real Slim Shady,Eminem,70,-,70,1,2000,5,6
Let's Get Married,Jagged Edge,77,-,77,1,2000,5,6
It's Gonna Be Me,'N Sync,82,-,82,1,2000,5,6
Absolutely (Story Of A Girl),Nine Days,85,-,85,1,2000,5,6
Prayin' For Daylight,Rascal Flatts,87,-,87,1,2000,5,6
Nothing As It Seems,Pearl Jam,49,-,49,1,2000,5,13
"Jumpin', Jumpin'",Destiny's Child,74,-,74,1,2000,5,13
Some Things Never Change,Tim McGraw,76,-,76,1,2000,5,13
I Hope You Dance,Lee Ann Womack,83,-,83,1,2000,5,13
With Arms Wide Open,Creed,84,-,84,1,2000,5,13
I Disappear,Metallica,86,-,86,1,2000,5,13
Me Neither,Brad Paisley,87,-,87,1,2000,5,13
I'll Be,Reba McEntire,89,-,89,1,2000,5,13
Love Sets You Free,Kelly Price & Friends,92,-,92,1,2000,5,13
Desert Rose,Sting Featuring Cheb Mami,98,-,98,1,2000,5,13
Dance Tonight,Lucy Pearl,80,-,80,1,2000,5,20
Monica,Before Dark,95,-,95,1,2000,5,20
Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",99,-,99,1,2000,5,20
The One,Backstreet Boys,58,-,58,1,2000,5,27
I Need You,LeAnn Rimes,77,-,77,1,2000,5,27
The Next Episode,Dr. Dre Featuring Snoop Dogg,78,-,78,1,2000,5,27
Wifey,Next,85,-,85,1,2000,5,27
What'Chu Like,Da Brat Featuring Tyrese,71,-,71,1,2000,6,3
3 Little Words,Nu Flavor,97,-,97,1,2000,6,3
I Think God Can Explain,Splender,71,-,71,1,2000,6,10
