Track,Artist,Position,Peak,Last,Weeks,Year,Month,Week
Smooth,Santana Featuring Rob Thomas,1.0,1.0,1,23.0,2000.0,1.0,1.0
Back At One,Brian McKnight,2.0,2.0,2,19.0,2000.0,1.0,1.0
I Wanna Love You Forever,Jessica Simpson,3.0,3.0,3,12.0,2000.0,1.0,1.0
My Love Is Your Love,Whitney Houston,4.0,4.0,5,18.0,2000.0,1.0,1.0
I Knew I Loved You,Savage Garden,5.0,4.0,4,11.0,2000.0,1.0,1.0
I Need To Know,Marc Anthony,6.0,3.0,6,17.0,2000.0,1.0,1.0
Hot Boyz,"Missy &quot;Misdemeanor&quot; Elliott Featuring NAS, EVE & Q-Tip",7.0,7.0,7,6.0,2000.0,1.0,1.0
U Know What's Up,Donell Jones,8.0,7.0,8,15.0,2000.0,1.0,1.0
Bring It All To Me,Blaque,9.0,9.0,9,11.0,2000.0,1.0,1.0
Girl On TV,LFO,10.0,10.0,11,7.0,2000.0,1.0,1.0
What A Girl Wants,Christina Aguilera,11.0,11.0,13,6.0,2000.0,1.0,1.0
24/7,Kevon Edmonds,12.0,10.0,10,9.0,2000.0,1.0,1.0
Blue (Da Ba Dee),Eiffel 65,13.0,13.0,16,4.0,2000.0,1.0,1.0
Then The Morning Comes,Smash Mouth,14.0,14.0,14,10.0,2000.0,1.0,1.0
He Can't Love U,Jagged Edge,15.0,15.0,17,4.0,2000.0,1.0,1.0
Waiting For Tonight,Jennifer Lopez,16.0,8.0,12,12.0,2000.0,1.0,1.0
That's The Way It Is,Celine Dion,17.0,17.0,30,8.0,2000.0,1.0,1.0
The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,18.0,18.0,47,3.0,2000.0,1.0,1.0
Dancin',Guy,19.0,19.0,29,3.0,2000.0,1.0,1.0
Steal My Sunshine,Len,20.0,9.0,15,21.0,2000.0,1.0,1.0
Get It On Tonite,Montell Jordan,21.0,21.0,24,11.0,2000.0,1.0,1.0
Learn To Fly,Foo Fighters,22.0,22.0,22,12.0,2000.0,1.0,1.0
Big Deal,LeAnn Rimes,23.0,23.0,26,12.0,2000.0,1.0,1.0
Meet Virginia,Train,24.0,21.0,21,13.0,2000.0,1.0,1.0
Unpretty,TLC,25.0,1.0,20,28.0,2000.0,1.0,1.0
Breathe,Faith Hill,26.0,26.0,28,9.0,2000.0,1.0,1.0
Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,27.0,19.0,25,26.0,2000.0,1.0,1.0
"4, 5, 6",Sole Featuring JT Money & Kandi,28.0,21.0,23,10.0,2000.0,1.0,1.0
Stay The Night,IMx,29.0,29.0,36,13.0,2000.0,1.0,1.0
Don't Say You Love Me,M2M,30.0,30.0,44,7.0,2000.0,1.0,1.0
Where My Girls At?,702,31.0,4.0,19,36.0,2000.0,1.0,1.0
Mambo No. 5 (A Little Bit Of...),Lou Bega,32.0,3.0,18,19.0,2000.0,1.0,1.0
Hanginaround,Counting Crows,33.0,33.0,35,9.0,2000.0,1.0,1.0
Take A Picture,Filter,34.0,34.0,38,6.0,2000.0,1.0,1.0
Get Gone,Ideal,35.0,13.0,27,20.0,2000.0,1.0,1.0
Someday,Sugar Ray,36.0,7.0,34,27.0,2000.0,1.0,1.0
He Didn't Have To Be,Brad Paisley,37.0,30.0,31,11.0,2000.0,1.0,1.0
Got Your Money,Ol' Dirty Bastard Featuring Kelis,38.0,33.0,33,11.0,2000.0,1.0,1.0
Shake Your Bon-Bon,Ricky Martin,39.0,39.0,39,7.0,2000.0,1.0,1.0
If You Love Me,Mint Condition,40.0,30.0,40,9.0,2000.0,1.0,1.0
Black Balloon,Goo Goo Dolls,41.0,16.0,37,26.0,2000.0,1.0,1.0
Rhythm Divine,Enrique Iglesias,42.0,42.0,67,5.0,2000.0,1.0,1.0
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,43.0,43.0,50,4.0,2000.0,1.0,1.0
Satisfy You,Puff Daddy Featuring R. Kelly,44.0,2.0,32,15.0,2000.0,1.0,1.0
Amazed,Lonestar,45.0,24.0,45,22.0,2000.0,1.0,1.0
What Do You Say,Reba,46.0,46.0,46,10.0,2000.0,1.0,1.0
You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,47.0,42.0,42,5.0,2000.0,1.0,1.0
Cowboy Take Me Away,Dixie Chicks,48.0,48.0,52,6.0,2000.0,1.0,1.0
When I Said I Do,Clint Black,49.0,31.0,41,12.0,2000.0,1.0,1.0
My Best Friend,Tim McGraw,50.0,50.0,54,6.0,2000.0,1.0,1.0
Got To Get It,Sisqo Featuring Make It Hot,51.0,48.0,48,7.0,2000.0,1.0,1.0
All The Small Things,Blink-182,52.0,52.0,59,5.0,2000.0,1.0,1.0
This Gift,98 Degrees,53.0,53.0,-,1.0,2000.0,1.0,1.0
Auld Lang Syne,Kenny G,54.0,54.0,89,2.0,2000.0,1.0,1.0
Angels,Robbie Williams,55.0,55.0,56,7.0,2000.0,1.0,1.0
Say My Name,Destiny's Child,56.0,56.0,83,2.0,2000.0,1.0,1.0
Pop A Top,Alan Jackson,57.0,55.0,55,8.0,2000.0,1.0,1.0
Caught Out There,Kelis,58.0,58.0,63,5.0,2000.0,1.0,1.0
15 Minutes,Marc Nelson,59.0,27.0,43,14.0,2000.0,1.0,1.0
Heartbreaker,Mariah Carey Featuring Jay-Z,60.0,1.0,51,18.0,2000.0,1.0,1.0
Higher,Creed,61.0,52.0,61,17.0,2000.0,1.0,1.0
Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",62.0,36.0,62,16.0,2000.0,1.0,1.0
Will 2K,Will Smith Featuring K-Ci,63.0,25.0,58,10.0,2000.0,1.0,1.0
Deep Inside,Mary J. Blige,64.0,64.0,64,8.0,2000.0,1.0,1.0
All Things Considered,Yankee Grey,65.0,55.0,57,16.0,2000.0,1.0,1.0
I Love You,Martina McBride,66.0,24.0,60,19.0,2000.0,1.0,1.0
Sexual (Li Da Di),Amber,67.0,67.0,69,21.0,2000.0,1.0,1.0
None Of Ur Friends Business,Ginuwine,68.0,68.0,71,4.0,2000.0,1.0,1.0
Deck The Halls,SHeDAISY,69.0,69.0,97,2.0,2000.0,1.0,1.0
Left & Right,D'Angelo Featuring Method Man And Redman,70.0,70.0,75,4.0,2000.0,1.0,1.0
Smile,Lonestar,71.0,71.0,80,3.0,2000.0,1.0,1.0
The Great Beyond,R.E.M.,72.0,72.0,79,2.0,2000.0,1.0,1.0
Bug A Boo,Destiny's Child,73.0,33.0,72,15.0,2000.0,1.0,1.0
Show Me The Meaning Of Being Lonely,Backstreet Boys,74.0,74.0,-,1.0,2000.0,1.0,1.0
We Can't Be Friends,Deborah Cox With R.L.,75.0,8.0,77,17.0,2000.0,1.0,1.0
(You Drive Me) Crazy,Britney Spears,76.0,10.0,53,16.0,2000.0,1.0,1.0
One Night Stand,J-Shin Featuring LaTocha Scott,77.0,77.0,96,2.0,2000.0,1.0,1.0
N 2 Gether Now,Limp Bizkit Featuring Method Man,78.0,78.0,78,5.0,2000.0,1.0,1.0
No More Rain (In This Cloud),Angie Stone,79.0,79.0,86,2.0,2000.0,1.0,1.0
Home To You,John Michael Montgomery,80.0,45.0,68,14.0,2000.0,1.0,1.0
The Chemicals Between Us,Bush,81.0,67.0,73,14.0,2000.0,1.0,1.0
Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,82.0,82.0,84,5.0,2000.0,1.0,1.0
Guerrilla Radio,Rage Against The Machine,83.0,69.0,87,10.0,2000.0,1.0,1.0
"Live, Laugh, Love",Clay Walker,84.0,84.0,94,5.0,2000.0,1.0,1.0
Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,85.0,82.0,88,4.0,2000.0,1.0,1.0
She Thinks My Tractor's Sexy,Kenny Chesney,86.0,74.0,74,7.0,2000.0,1.0,1.0
Larger Than Life,Backstreet Boys,87.0,25.0,70,16.0,2000.0,1.0,1.0
There She Goes,Sixpence None The Richer,88.0,32.0,76,17.0,2000.0,1.0,1.0
The Greatest Romance Ever Sold,Prince,89.0,63.0,92,11.0,2000.0,1.0,1.0
The Rockafeller Skank,Fatboy Slim,90.0,77.0,82,24.0,2000.0,1.0,1.0
Give You What You Want (Fa Sure),Chico DeBarge,91.0,71.0,90,11.0,2000.0,1.0,1.0
Music Of My Heart,'N Sync & Gloria Estefan,92.0,2.0,85,18.0,2000.0,1.0,1.0
A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,93.0,93.0,-,1.0,2000.0,1.0,1.0
I Wanna Know,Joe,94.0,94.0,-,1.0,2000.0,1.0,1.0
Re-arranged,Limp Bizkit,95.0,90.0,95,5.0,2000.0,1.0,1.0
L.A. Song,Beth Hart,96.0,96.0,99,6.0,2000.0,1.0,1.0
Gotta Man,Eve,97.0,26.0,66,16.0,2000.0,1.0,1.0
The Quittin' Kind,Joe Diffie,98.0,98.0,-,1.0,2000.0,1.0,1.0
Steam,Ty Herndon,99.0,83.0,91,12.0,2000.0,1.0,1.0
NAStradamus,Nas,100.0,92.0,100,6.0,2000.0,1.0,1.0
G'd Up,Snoop Dogg Presents Tha Eastsidaz,77.0,77.0,-,1.0,2000.0,1.0,8.0
All I Want For Christmas Is You,Mariah Carey,83.0,83.0,-,1.0,2000.0,1.0,8.0
Love Is Blind,Eve Featuring Faith Evans,94.0,94.0,-,1.0,2000.0,1.0,8.0
The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",97.0,97.0,-,1.0,2000.0,1.0,8.0
Falls Apart,Sugar Ray,70.0,70.0,-,1.0,2000.0,1.0,15.0
Back At One,Mark Wills,89.0,89.0,-,1.0,2000.0,1.0,15.0
Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,95.0,95.0,-,1.0,2000.0,1.0,15.0
What's My Name,DMX,98.0,98.0,-,1.0,2000.0,1.0,15.0
Never Let You Go,Third Eye Blind,65.0,65.0,-,1.0,2000.0,1.0,22.0
It Feels So Good,Sonique,67.0,67.0,-,1.0,2000.0,1.0,22.0
Everything You Want,Vertical Horizon,70.0,70.0,-,1.0,2000.0,1.0,22.0
Breathe And Stop,Q-Tip,71.0,71.0,-,1.0,2000.0,1.0,22.0
Forgot About Dre,Dr. Dre Featuring Eminem,75.0,75.0,-,1.0,2000.0,1.0,22.0
Untitled (How Does It Feel),D'Angelo,77.0,77.0,-,1.0,2000.0,1.0,22.0
Smoke Rings In The Dark,Gary Allan,80.0,80.0,-,1.0,2000.0,1.0,22.0
Bye Bye Bye,'N Sync,42.0,42.0,-,1.0,2000.0,1.0,29.0
The Best Day,George Strait,73.0,73.0,-,1.0,2000.0,1.0,29.0
Thong Song,Sisqo,74.0,74.0,-,1.0,2000.0,1.0,29.0
"Tricky, Tricky",Lou Bega,75.0,75.0,-,1.0,2000.0,1.0,29.0
From The Bottom Of My Broken Heart,Britney Spears,76.0,76.0,-,1.0,2000.0,1.0,29.0
How Do You Like Me Now?!,Toby Keith,77.0,77.0,-,1.0,2000.0,1.0,29.0
Lessons Learned,Tracy Lawrence,80.0,80.0,-,1.0,2000.0,1.0,29.0
Put Your Hand In Mine,Tracy Byrd,81.0,81.0,-,1.0,2000.0,1.0,29.0
Because You Love Me,Jo Dee Messina,83.0,83.0,-,1.0,2000.0,1.0,29.0
I Don't Wanna,Aaliyah,84.0,84.0,-,1.0,2000.0,1.0,29.0
I Like It,Sammie,85.0,85.0,-,1.0,2000.0,1.0,29.0
Love's The Only House,Martina McBride,79.0,79.0,-,1.0,2000.0,2.0,5.0
This Woman Needs,SHeDAISY,82.0,82.0,-,1.0,2000.0,2.0,5.0
U Understand,Juvenile,85.0,85.0,-,1.0,2000.0,2.0,5.0
Candy,Mandy Moore,93.0,41.0,-,15.0,2000.0,2.0,5.0
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,99.0,93.0,-,5.0,2000.0,2.0,5.0
Maria Maria,Santana Featuring The Product G&B,15.0,15.0,-,1.0,2000.0,2.0,12.0
Dear Lie,TLC,63.0,63.0,-,1.0,2000.0,2.0,12.0
Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,65.0,65.0,-,1.0,2000.0,2.0,12.0
Otherside,Red Hot Chili Peppers,80.0,80.0,-,1.0,2000.0,2.0,12.0
No Leaf Clover,Metallica,86.0,86.0,-,1.0,2000.0,2.0,12.0
Freakin' It,Will Smith,99.0,99.0,-,1.0,2000.0,2.0,12.0
"Left, Right, Left",Drama,100.0,100.0,-,1.0,2000.0,2.0,12.0
