,penalties,loss,alpha,rate,eta0,accuracy
18266,elasticnet,modified_huber,0.0291,optimal,0.060000000000000005,69.25
18263,elasticnet,modified_huber,0.0291,optimal,0.03,69.25
18269,elasticnet,modified_huber,0.0291,optimal,0.09,69.25
18267,elasticnet,modified_huber,0.0291,optimal,0.06999999999999999,69.25
18264,elasticnet,modified_huber,0.0291,optimal,0.04,69.25
18268,elasticnet,modified_huber,0.0291,optimal,0.08,69.25
18262,elasticnet,modified_huber,0.0291,optimal,0.02,69.25
18261,elasticnet,modified_huber,0.0291,optimal,0.01,69.25
18265,elasticnet,modified_huber,0.0291,optimal,0.05,69.25
18161,elasticnet,modified_huber,0.0171,optimal,0.09,69.03
18159,elasticnet,modified_huber,0.0171,optimal,0.06999999999999999,69.03
18158,elasticnet,modified_huber,0.0171,optimal,0.060000000000000005,69.03
18157,elasticnet,modified_huber,0.0171,optimal,0.05,69.03
18156,elasticnet,modified_huber,0.0171,optimal,0.04,69.03
18155,elasticnet,modified_huber,0.0171,optimal,0.03,69.03
18154,elasticnet,modified_huber,0.0171,optimal,0.02,69.03
18160,elasticnet,modified_huber,0.0171,optimal,0.08,69.03
18153,elasticnet,modified_huber,0.0171,optimal,0.01,69.03
6305,l1,epsilon_insensitive,0.0001,optimal,0.060000000000000005,68.89
6307,l1,epsilon_insensitive,0.0001,optimal,0.08,68.89
6300,l1,epsilon_insensitive,0.0001,optimal,0.01,68.89
6301,l1,epsilon_insensitive,0.0001,optimal,0.02,68.89
6308,l1,epsilon_insensitive,0.0001,optimal,0.09,68.89
6302,l1,epsilon_insensitive,0.0001,optimal,0.03,68.89
6303,l1,epsilon_insensitive,0.0001,optimal,0.04,68.89
6304,l1,epsilon_insensitive,0.0001,optimal,0.05,68.89
6306,l1,epsilon_insensitive,0.0001,optimal,0.06999999999999999,68.89
18163,elasticnet,modified_huber,0.0181,optimal,0.02,68.71
18166,elasticnet,modified_huber,0.0181,optimal,0.05,68.71
18167,elasticnet,modified_huber,0.0181,optimal,0.060000000000000005,68.71
18168,elasticnet,modified_huber,0.0181,optimal,0.06999999999999999,68.71
18169,elasticnet,modified_huber,0.0181,optimal,0.08,68.71
18170,elasticnet,modified_huber,0.0181,optimal,0.09,68.71
18165,elasticnet,modified_huber,0.0181,optimal,0.04,68.71
18162,elasticnet,modified_huber,0.0181,optimal,0.01,68.71
18164,elasticnet,modified_huber,0.0181,optimal,0.03,68.71
18108,elasticnet,modified_huber,0.0121,optimal,0.01,68.67
18112,elasticnet,modified_huber,0.0121,optimal,0.05,68.67
18113,elasticnet,modified_huber,0.0121,optimal,0.060000000000000005,68.67
18114,elasticnet,modified_huber,0.0121,optimal,0.06999999999999999,68.67
18115,elasticnet,modified_huber,0.0121,optimal,0.08,68.67
18116,elasticnet,modified_huber,0.0121,optimal,0.09,68.67
18111,elasticnet,modified_huber,0.0121,optimal,0.04,68.67
18110,elasticnet,modified_huber,0.0121,optimal,0.03,68.67
18109,elasticnet,modified_huber,0.0121,optimal,0.02,68.67
1888,l1,modified_huber,0.0091,optimal,0.08,68.63
1883,l1,modified_huber,0.0091,optimal,0.03,68.63
1882,l1,modified_huber,0.0091,optimal,0.02,68.63
1881,l1,modified_huber,0.0091,optimal,0.01,68.63
1884,l1,modified_huber,0.0091,optimal,0.04,68.63
1885,l1,modified_huber,0.0091,optimal,0.05,68.63
1887,l1,modified_huber,0.0091,optimal,0.06999999999999999,68.63
1886,l1,modified_huber,0.0091,optimal,0.060000000000000005,68.63
1889,l1,modified_huber,0.0091,optimal,0.09,68.63
18120,elasticnet,modified_huber,0.0131,optimal,0.04,68.6
18119,elasticnet,modified_huber,0.0131,optimal,0.03,68.6
18118,elasticnet,modified_huber,0.0131,optimal,0.02,68.6
18117,elasticnet,modified_huber,0.0131,optimal,0.01,68.6
18125,elasticnet,modified_huber,0.0131,optimal,0.09,68.6
18124,elasticnet,modified_huber,0.0131,optimal,0.08,68.6
18123,elasticnet,modified_huber,0.0131,optimal,0.06999999999999999,68.6
18122,elasticnet,modified_huber,0.0131,optimal,0.060000000000000005,68.6
18121,elasticnet,modified_huber,0.0131,optimal,0.05,68.6
18091,elasticnet,modified_huber,0.0101,optimal,0.02,68.56
18095,elasticnet,modified_huber,0.0101,optimal,0.060000000000000005,68.56
18094,elasticnet,modified_huber,0.0101,optimal,0.05,68.56
18098,elasticnet,modified_huber,0.0101,optimal,0.09,68.56
18092,elasticnet,modified_huber,0.0101,optimal,0.03,68.56
18093,elasticnet,modified_huber,0.0101,optimal,0.04,68.56
18090,elasticnet,modified_huber,0.0101,optimal,0.01,68.56
18096,elasticnet,modified_huber,0.0101,optimal,0.06999999999999999,68.56
18097,elasticnet,modified_huber,0.0101,optimal,0.08,68.56
18260,elasticnet,modified_huber,0.0281,optimal,0.09,68.49
18259,elasticnet,modified_huber,0.0281,optimal,0.08,68.49
18258,elasticnet,modified_huber,0.0281,optimal,0.06999999999999999,68.49
18257,elasticnet,modified_huber,0.0281,optimal,0.060000000000000005,68.49
18256,elasticnet,modified_huber,0.0281,optimal,0.05,68.49
18255,elasticnet,modified_huber,0.0281,optimal,0.04,68.49
18254,elasticnet,modified_huber,0.0281,optimal,0.03,68.49
18253,elasticnet,modified_huber,0.0281,optimal,0.02,68.49
18252,elasticnet,modified_huber,0.0281,optimal,0.01,68.49
18309,elasticnet,modified_huber,0.034100000000000005,optimal,0.04,68.45
18306,elasticnet,modified_huber,0.034100000000000005,optimal,0.01,68.45
18307,elasticnet,modified_huber,0.034100000000000005,optimal,0.02,68.45
18308,elasticnet,modified_huber,0.034100000000000005,optimal,0.03,68.45
18310,elasticnet,modified_huber,0.034100000000000005,optimal,0.05,68.45
18312,elasticnet,modified_huber,0.034100000000000005,optimal,0.06999999999999999,68.45
18313,elasticnet,modified_huber,0.034100000000000005,optimal,0.08,68.45
18314,elasticnet,modified_huber,0.034100000000000005,optimal,0.09,68.45
18311,elasticnet,modified_huber,0.034100000000000005,optimal,0.060000000000000005,68.45
18217,elasticnet,modified_huber,0.0241,optimal,0.02,68.42
18218,elasticnet,modified_huber,0.0241,optimal,0.03,68.42
18219,elasticnet,modified_huber,0.0241,optimal,0.04,68.42
18221,elasticnet,modified_huber,0.0241,optimal,0.060000000000000005,68.42
18222,elasticnet,modified_huber,0.0241,optimal,0.06999999999999999,68.42
18223,elasticnet,modified_huber,0.0241,optimal,0.08,68.42
18220,elasticnet,modified_huber,0.0241,optimal,0.05,68.42
18224,elasticnet,modified_huber,0.0241,optimal,0.09,68.42
18216,elasticnet,modified_huber,0.0241,optimal,0.01,68.42
18302,elasticnet,modified_huber,0.033100000000000004,optimal,0.060000000000000005,68.38
18301,elasticnet,modified_huber,0.033100000000000004,optimal,0.05,68.38
18303,elasticnet,modified_huber,0.033100000000000004,optimal,0.06999999999999999,68.38
18304,elasticnet,modified_huber,0.033100000000000004,optimal,0.08,68.38
18305,elasticnet,modified_huber,0.033100000000000004,optimal,0.09,68.38
18300,elasticnet,modified_huber,0.033100000000000004,optimal,0.04,68.38
18299,elasticnet,modified_huber,0.033100000000000004,optimal,0.03,68.38
18298,elasticnet,modified_huber,0.033100000000000004,optimal,0.02,68.38
18297,elasticnet,modified_huber,0.033100000000000004,optimal,0.01,68.38
18342,elasticnet,modified_huber,0.0381,optimal,0.01,68.27
18350,elasticnet,modified_huber,0.0381,optimal,0.09,68.27
18349,elasticnet,modified_huber,0.0381,optimal,0.08,68.27
18348,elasticnet,modified_huber,0.0381,optimal,0.06999999999999999,68.27
18347,elasticnet,modified_huber,0.0381,optimal,0.060000000000000005,68.27
18283,elasticnet,modified_huber,0.0311,optimal,0.05,68.27
18285,elasticnet,modified_huber,0.0311,optimal,0.06999999999999999,68.27
18282,elasticnet,modified_huber,0.0311,optimal,0.04,68.27
18281,elasticnet,modified_huber,0.0311,optimal,0.03,68.27
18280,elasticnet,modified_huber,0.0311,optimal,0.02,68.27
18279,elasticnet,modified_huber,0.0311,optimal,0.01,68.27
18343,elasticnet,modified_huber,0.0381,optimal,0.02,68.27
18344,elasticnet,modified_huber,0.0381,optimal,0.03,68.27
18345,elasticnet,modified_huber,0.0381,optimal,0.04,68.27
18284,elasticnet,modified_huber,0.0311,optimal,0.060000000000000005,68.27
18294,elasticnet,modified_huber,0.032100000000000004,optimal,0.06999999999999999,68.27
18286,elasticnet,modified_huber,0.0311,optimal,0.08,68.27
18292,elasticnet,modified_huber,0.032100000000000004,optimal,0.05,68.27
18296,elasticnet,modified_huber,0.032100000000000004,optimal,0.09,68.27
18287,elasticnet,modified_huber,0.0311,optimal,0.09,68.27
18293,elasticnet,modified_huber,0.032100000000000004,optimal,0.060000000000000005,68.27
18295,elasticnet,modified_huber,0.032100000000000004,optimal,0.08,68.27
18291,elasticnet,modified_huber,0.032100000000000004,optimal,0.04,68.27
18290,elasticnet,modified_huber,0.032100000000000004,optimal,0.03,68.27
18289,elasticnet,modified_huber,0.032100000000000004,optimal,0.02,68.27
18288,elasticnet,modified_huber,0.032100000000000004,optimal,0.01,68.27
18346,elasticnet,modified_huber,0.0381,optimal,0.05,68.27
18246,elasticnet,modified_huber,0.0271,optimal,0.04,68.23
18251,elasticnet,modified_huber,0.0271,optimal,0.09,68.23
18250,elasticnet,modified_huber,0.0271,optimal,0.08,68.23
18243,elasticnet,modified_huber,0.0271,optimal,0.01,68.23
18244,elasticnet,modified_huber,0.0271,optimal,0.02,68.23
18245,elasticnet,modified_huber,0.0271,optimal,0.03,68.23
18248,elasticnet,modified_huber,0.0271,optimal,0.060000000000000005,68.23
18247,elasticnet,modified_huber,0.0271,optimal,0.05,68.23
18249,elasticnet,modified_huber,0.0271,optimal,0.06999999999999999,68.23
18339,elasticnet,modified_huber,0.0371,optimal,0.06999999999999999,68.2
18316,elasticnet,modified_huber,0.035100000000000006,optimal,0.02,68.2
18340,elasticnet,modified_huber,0.0371,optimal,0.08,68.2
18341,elasticnet,modified_huber,0.0371,optimal,0.09,68.2
18329,elasticnet,modified_huber,0.03610000000000001,optimal,0.060000000000000005,68.2
18328,elasticnet,modified_huber,0.03610000000000001,optimal,0.05,68.2
18327,elasticnet,modified_huber,0.03610000000000001,optimal,0.04,68.2
18326,elasticnet,modified_huber,0.03610000000000001,optimal,0.03,68.2
18325,elasticnet,modified_huber,0.03610000000000001,optimal,0.02,68.2
18324,elasticnet,modified_huber,0.03610000000000001,optimal,0.01,68.2
18323,elasticnet,modified_huber,0.035100000000000006,optimal,0.09,68.2
18322,elasticnet,modified_huber,0.035100000000000006,optimal,0.08,68.2
18321,elasticnet,modified_huber,0.035100000000000006,optimal,0.06999999999999999,68.2
18320,elasticnet,modified_huber,0.035100000000000006,optimal,0.060000000000000005,68.2
18319,elasticnet,modified_huber,0.035100000000000006,optimal,0.05,68.2
18318,elasticnet,modified_huber,0.035100000000000006,optimal,0.04,68.2
18317,elasticnet,modified_huber,0.035100000000000006,optimal,0.03,68.2
18315,elasticnet,modified_huber,0.035100000000000006,optimal,0.01,68.2
18333,elasticnet,modified_huber,0.0371,optimal,0.01,68.2
18338,elasticnet,modified_huber,0.0371,optimal,0.060000000000000005,68.2
18337,elasticnet,modified_huber,0.0371,optimal,0.05,68.2
18336,elasticnet,modified_huber,0.0371,optimal,0.04,68.2
18335,elasticnet,modified_huber,0.0371,optimal,0.03,68.2
18334,elasticnet,modified_huber,0.0371,optimal,0.02,68.2
18332,elasticnet,modified_huber,0.03610000000000001,optimal,0.09,68.2
18331,elasticnet,modified_huber,0.03610000000000001,optimal,0.08,68.2
18330,elasticnet,modified_huber,0.03610000000000001,optimal,0.06999999999999999,68.2
1979,l1,modified_huber,0.0191,optimal,0.09,68.16
18227,elasticnet,modified_huber,0.0251,optimal,0.03,68.16
18363,elasticnet,modified_huber,0.040100000000000004,optimal,0.04,68.16
18362,elasticnet,modified_huber,0.040100000000000004,optimal,0.03,68.16
18361,elasticnet,modified_huber,0.040100000000000004,optimal,0.02,68.16
18364,elasticnet,modified_huber,0.040100000000000004,optimal,0.05,68.16
18365,elasticnet,modified_huber,0.040100000000000004,optimal,0.060000000000000005,68.16
18225,elasticnet,modified_huber,0.0251,optimal,0.01,68.16
18226,elasticnet,modified_huber,0.0251,optimal,0.02,68.16
18367,elasticnet,modified_huber,0.040100000000000004,optimal,0.08,68.16
18228,elasticnet,modified_huber,0.0251,optimal,0.04,68.16
1978,l1,modified_huber,0.0191,optimal,0.08,68.16
1971,l1,modified_huber,0.0191,optimal,0.01,68.16
1972,l1,modified_huber,0.0191,optimal,0.02,68.16
1973,l1,modified_huber,0.0191,optimal,0.03,68.16
1974,l1,modified_huber,0.0191,optimal,0.04,68.16
1975,l1,modified_huber,0.0191,optimal,0.05,68.16
18229,elasticnet,modified_huber,0.0251,optimal,0.05,68.16
1977,l1,modified_huber,0.0191,optimal,0.06999999999999999,68.16
1976,l1,modified_huber,0.0191,optimal,0.060000000000000005,68.16
18232,elasticnet,modified_huber,0.0251,optimal,0.08,68.16
18233,elasticnet,modified_huber,0.0251,optimal,0.09,68.16
18368,elasticnet,modified_huber,0.040100000000000004,optimal,0.09,68.16
18230,elasticnet,modified_huber,0.0251,optimal,0.060000000000000005,68.16
18231,elasticnet,modified_huber,0.0251,optimal,0.06999999999999999,68.16
18360,elasticnet,modified_huber,0.040100000000000004,optimal,0.01,68.16
