spotify_id,year,title,artist,peak_pos,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
000xQL6tZNLJzIrtIgxqSl,2017,Still Got Time,zayn,66,1,0.627,0.0852,120.963,0.0644,0.131,0,4,0.748,7,188491,-6.029,0.524,1
0010mZpCCwlPwoBiBsjoac,2014,It's Alright Now,Bombay Bicycle Club,0,0,0.793,0.144,124.994,0.0352,0.108,3.28E-06,3,0.527,3,249947,-4.823,0.597,1
002opcRBgYV5jqoh72QcqA,2016,Just to See You Smile,Why Don't We,0,0,0.618,0.102,89.901,0.142,0.0508,0,4,0.707,9,181958,-7.154,0.261,1
003VWU5LKbDkXTqpLQuID1,2013,The Outsiders,eric church,51,1,0.808,0.101,80.026,0.0633,0.282,4.97E-05,4,0.521,7,253640,-5.204,0.323,1
005lwxGU1tms6HGELIcUv9,2008,I Kissed A Girl,katy perry,1,1,0.76,0.132,129.996,0.0677,0.00223,0,4,0.699,5,179640,-3.173,0.696,1
006hfStQk9L7MVT9RcDeva,2014,A Part Of Me (feat. Laura Whiteside),Neck Deep,0,0,0.875,0.103,100.018,0.0435,0.376,5.16E-05,4,0.372,4,189415,-0.946,0.313,1
006x3wfSReHJcoRc3LpO7t,2010,More Lost Without You - Live,Alan Parsons,0,0,0.639,0.77,96.076,0.0327,0.643,0.000279,4,0.584,2,205427,-8.25,0.701,1
007n10xGvSbc7dKgAORVIq,2003,Brokenheartsville,joe nichols,27,1,0.65,0.0956,103.954,0.0228,0.142,0.000325,4,0.668,10,231347,-4.351,0.577,1
00BNkn0PppbR5dEOTcAQJg,2015,Mr Mambo (Hips Mix),11 Acorn Lane,0,0,0.95,0.0476,127.991,0.0381,0.188,0.0938,4,0.909,0,186941,-4.795,0.968,1
00dhuugTq7XaBohK71vN48,2009,Sweet Caroline,glee cast,34,1,0.449,0.0792,124.035,0.0337,0.07,6.91E-05,4,0.63,11,118133,-7.127,0.638,1
00dssbjaUrePKZcYBN5ocd,2017,"Oh, How I Love Jesus",Reba McEntire,0,0,0.42,0.0869,93.77,0.027,0.73,0,3,0.257,7,198160,-6.617,0.233,1
00eyIJu8FmiibWsppUVONY,2015,"Jesus, Don't Turn Me Away",Vern Gosdin,0,0,0.258,0.125,77.744,0.0292,0.602,1.74E-06,4,0.717,2,178480,-15.547,0.656,1
00F7eT1SZeNJGiXp70AMHX,2015,Thinking Like a Living Legend,Moxkito,0,0,0.847,0.338,192.742,0.281,0.747,0,4,0.469,5,234031,-5.657,0.755,1
00FROhC5g4iJdax5US8jRr,2000,Satisfy You,puff daddy,2,1,0.594,0.145,87.261,0.185,0.591,0,4,0.764,6,286441,-10.05,0.695,1
00gIstLkmQGkJP7sxdKcXC,2013,Lab Monkey,Alice In Chains,0,0,0.742,0.102,108.184,0.0328,2.21E-05,0.91,4,0.347,6,358362,-6.065,0.192,1
00gvX9sFwh19OH88f4v4jW,2005,Who Did You Think I Was,john mayer trio,92,1,0.968,0.938,188.686,0.102,0.000379,0.136,4,0.232,7,189160,-5.597,0.419,1
00iCmJWwV60uyYMhDtfsI2,2017,Wouldn't Treat a Dog (The Way You Treated Me),Chris Daniels & The Kings,0,0,0.743,0.0411,112.074,0.0394,0.286,0.000164,4,0.688,7,248880,-5.6,0.793,0
00jOp1nZRzs2Z4vtWjhE5S,2011,Back in Gimmelshtump,Cast - Phineas and Ferb,0,0,0.934,0.156,119.873,0.192,0.276,0,4,0.615,7,73893,-3.099,0.47,1
00ka0FavAYxFA85omU347R,2017,Anyone Who Knows What Love Is,Boyz II Men,0,0,0.508,0.169,185.444,0.0303,0.405,5.59E-06,3,0.279,2,211307,-4.906,0.273,1
00Mb3DuaIH1kjrwOku9CGU,2003,Sk8er Boi,avril lavigne,10,1,0.9,0.358,149.937,0.0482,6.79E-05,0,4,0.487,0,204000,-4.417,0.484,1
00mJ9I0iyXv8VJY2fWvUHQ,2001,Midwest Swing,st. lunatics,88,1,0.599,0.271,94.937,0.047,0.0479,2.85E-05,4,0.863,10,275389,-6.846,0.222,0
00NAQYOP4AmWR549nnYJZu,2016,Secrets,the weeknd,47,1,0.779,0.474,109.933,0.0509,0.0183,7.35E-06,4,0.674,0,265600,-5.779,0.732,1
00nOWzG082dVONjO5rW609,2007,Sister Rosetta Goes Before Us,Robert Plant,0,0,0.388,0.109,138.992,0.0518,0.706,0.0932,4,0.605,7,205373,-10.45,0.543,0
00NUqFMIpCsrYPbM9YpVHQ,2011,MegaMan,lil wayne,52,1,0.85,0.258,102.163,0.293,0.0131,0,5,0.507,11,198280,-5.041,0.343,0
00oIqmk1eRn9D2y8BzNLS1,2002,Paper Roses,Donny Osmond,0,0,0.506,0.336,114.45,0.0378,0.32,1.53E-05,4,0.367,8,158973,-10.522,0.664,1
00RYiT3a2lNQ1wTKBQXWSw,2008,Lookin Boy,hot stylz,47,1,0.687,0.0724,149.989,0.308,0.213,0,4,0.85,0,207013,-5.995,0.502,0
00RYw42tKwXecTaVay3BKl,2014,Howling At The Moon,Phantogram,0,0,0.964,0.195,100.017,0.045,0.0188,8.8E-05,4,0.597,4,238187,-1.386,0.153,0
00S2tcx8QDMjSSaKNJHJKc,2014,Hold On To Your Hat,Derek Ryan,0,0,0.856,0.287,90.477,0.0326,0.328,0,4,0.528,7,183480,-4.746,0.933,1
00YAhmYqomnoWd7ogDUtXU,2010,I'm Back,t.i.,44,1,0.819,0.325,154.287,0.317,0.141,0,4,0.581,4,219888,-3.834,0.561,0
00YT2qidRYcyYPdirQ0Z3s,2011,If It Weren't For Him,Rosanne Cash,0,0,0.258,0.0904,105.028,0.0263,0.447,4.81E-06,4,0.595,10,210947,-15.383,0.237,1
00zqTWtvCWvDtAqoLRl6Sy,2009,When It Hurts,avant,91,1,0.646,0.0705,128.279,0.0839,0.376,0,4,0.682,11,236213,-5.509,0.253,1
00zUSzNsT330wAuuq9SNgW,2012,The King Is Dead But the Queen Is Alive,Party All Night All-Stars,0,0,0.674,0.263,129.964,0.0412,0.00171,0,4,0.666,0,221769,-6.105,0.558,1
014V6u9VubefjaPPl1QkTJ,2015,Phenomenal,eminem,47,1,0.841,0.0457,121.075,0.0466,0.153,0,4,0.64,1,282546,-2.426,0.0471,0
019vRgocJbnjPKyEqm7tPp,2016,Anticipation,Direct,0,0,0.542,0.741,134.956,0.0884,0.152,0.863,4,0.759,5,248987,-13.087,0.0382,0
01ACsk2knUnsfWeZp63nqa,2005,Do Somethin',britney spears,100,1,0.935,0.37,129.943,0.0671,0.0278,3.59E-05,4,0.845,4,204493,-3.262,0.962,1
01BlGnXpLuC0BjgUxVYZFb,2010,Never Let You Go,justin bieber,21,1,0.8,0.251,103.166,0.038,0.00212,0,4,0.662,0,264400,-4.775,0.649,1
