,neighbors,weights,algorithm,accuracy
138,250,uniform,brute,62.91
137,250,uniform,kd_tree,62.88
139,250,uniform,auto,62.88
136,250,uniform,ball_tree,62.88
131,200,uniform,auto,62.66
130,200,uniform,brute,62.66
129,200,uniform,kd_tree,62.66
128,200,uniform,ball_tree,62.66
121,175,uniform,kd_tree,62.48
123,175,uniform,auto,62.48
122,175,uniform,brute,62.48
120,175,uniform,ball_tree,62.48
146,300,uniform,brute,62.22
147,300,uniform,auto,62.22
145,300,uniform,kd_tree,62.22
144,300,uniform,ball_tree,62.22
104,125,uniform,ball_tree,62.19
107,125,uniform,auto,62.19
105,125,uniform,kd_tree,62.19
106,125,uniform,brute,62.19
140,250,distance,ball_tree,62.15
141,250,distance,kd_tree,62.15
142,250,distance,brute,62.15
143,250,distance,auto,62.15
114,150,uniform,brute,62.11
152,350,uniform,ball_tree,62.11
161,400,uniform,kd_tree,62.11
160,400,uniform,ball_tree,62.11
163,400,uniform,auto,62.11
155,350,uniform,auto,62.11
153,350,uniform,kd_tree,62.11
162,400,uniform,brute,62.11
154,350,uniform,brute,62.11
115,150,uniform,auto,62.08
170,500,uniform,brute,62.08
113,150,uniform,kd_tree,62.08
112,150,uniform,ball_tree,62.08
168,500,uniform,ball_tree,62.08
169,500,uniform,kd_tree,62.08
171,500,uniform,auto,62.08
159,350,distance,auto,62.0
158,350,distance,brute,62.0
157,350,distance,kd_tree,62.0
156,350,distance,ball_tree,62.0
135,200,distance,auto,61.93
134,200,distance,brute,61.93
133,200,distance,kd_tree,61.93
132,200,distance,ball_tree,61.93
176,600,uniform,ball_tree,61.86
179,600,uniform,auto,61.86
178,600,uniform,brute,61.86
177,600,uniform,kd_tree,61.86
43,45,uniform,auto,61.82
41,45,uniform,kd_tree,61.82
40,45,uniform,ball_tree,61.82
42,45,uniform,brute,61.82
148,300,distance,ball_tree,61.75
149,300,distance,kd_tree,61.75
150,300,distance,brute,61.75
151,300,distance,auto,61.75
51,50,uniform,auto,61.75
50,50,uniform,brute,61.75
49,50,uniform,kd_tree,61.75
117,150,distance,kd_tree,61.71
116,150,distance,ball_tree,61.71
48,50,uniform,ball_tree,61.71
118,150,distance,brute,61.71
166,400,distance,brute,61.71
119,150,distance,auto,61.71
24,35,uniform,ball_tree,61.71
25,35,uniform,kd_tree,61.71
26,35,uniform,brute,61.71
27,35,uniform,auto,61.71
167,400,distance,auto,61.71
