spotify_id,year,title,artist,peak_pos,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
000xQL6tZNLJzIrtIgxqSl,2017,Still Got Time,zayn,66,0.627,0.0852,120.963,0.0644,0.131,0,4,0.748,7,188491,-6.029,0.524,1
003VWU5LKbDkXTqpLQuID1,2013,The Outsiders,eric church,51,0.808,0.101,80.026,0.0633,0.282,4.97E-05,4,0.521,7,253640,-5.204,0.323,1
005lwxGU1tms6HGELIcUv9,2008,I Kissed A Girl,katy perry,1,0.76,0.132,129.996,0.0677,0.00223,0,4,0.699,5,179640,-3.173,0.696,1
007n10xGvSbc7dKgAORVIq,2003,Brokenheartsville,joe nichols,27,0.65,0.0956,103.954,0.0228,0.142,0.000325,4,0.668,10,231347,-4.351,0.577,1
00dhuugTq7XaBohK71vN48,2009,Sweet Caroline,glee cast,34,0.449,0.0792,124.035,0.0337,0.07,6.91E-05,4,0.63,11,118133,-7.127,0.638,1
00FROhC5g4iJdax5US8jRr,2000,Satisfy You,puff daddy,2,0.594,0.145,87.261,0.185,0.591,0,4,0.764,6,286441,-10.05,0.695,1
00gvX9sFwh19OH88f4v4jW,2005,Who Did You Think I Was,john mayer trio,92,0.968,0.938,188.686,0.102,0.000379,0.136,4,0.232,7,189160,-5.597,0.419,1
00Mb3DuaIH1kjrwOku9CGU,2003,Sk8er Boi,avril lavigne,10,0.9,0.358,149.937,0.0482,6.79E-05,0,4,0.487,0,204000,-4.417,0.484,1
00mJ9I0iyXv8VJY2fWvUHQ,2001,Midwest Swing,st. lunatics,88,0.599,0.271,94.937,0.047,0.0479,2.85E-05,4,0.863,10,275389,-6.846,0.222,0
00NAQYOP4AmWR549nnYJZu,2016,Secrets,the weeknd,47,0.779,0.474,109.933,0.0509,0.0183,7.35E-06,4,0.674,0,265600,-5.779,0.732,1
00NUqFMIpCsrYPbM9YpVHQ,2011,MegaMan,lil wayne,52,0.85,0.258,102.163,0.293,0.0131,0,5,0.507,11,198280,-5.041,0.343,0
00RYiT3a2lNQ1wTKBQXWSw,2008,Lookin Boy,hot stylz,47,0.687,0.0724,149.989,0.308,0.213,0,4,0.85,0,207013,-5.995,0.502,0
00YAhmYqomnoWd7ogDUtXU,2010,I'm Back,t.i.,44,0.819,0.325,154.287,0.317,0.141,0,4,0.581,4,219888,-3.834,0.561,0
00zqTWtvCWvDtAqoLRl6Sy,2009,When It Hurts,avant,91,0.646,0.0705,128.279,0.0839,0.376,0,4,0.682,11,236213,-5.509,0.253,1
014V6u9VubefjaPPl1QkTJ,2015,Phenomenal,eminem,47,0.841,0.0457,121.075,0.0466,0.153,0,4,0.64,1,282546,-2.426,0.0471,0
01ACsk2knUnsfWeZp63nqa,2005,Do Somethin',britney spears,100,0.935,0.37,129.943,0.0671,0.0278,3.59E-05,4,0.845,4,204493,-3.262,0.962,1
01BlGnXpLuC0BjgUxVYZFb,2010,Never Let You Go,justin bieber,21,0.8,0.251,103.166,0.038,0.00212,0,4,0.662,0,264400,-4.775,0.649,1
