,year,title,artist,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0,2019-09-06,15 MINUTES,Jake Miller,6ISI08IcBiRpvcdkrCl4TW,0.677,0.101,92.15,0.171,0.173,0.0,4,0.44,8,210947,-5.146,0.776,1
1,2010-11-24,Do It Again Put Ya Hands Up - Instrumental Hip Hop Rap Rnb Dirty South Freestyle Mixtape Dj Reggaeton 2011,Best Instrumentals Beats and Ringtones,42txL5degDAvzqUO84yB5d,0.289,0.112,161.945,0.0955,0.301,0.903,4,0.655,0,213345,-15.504,0.567,1
2,1999-07-27,I Need A Hot Girl,Hot Boys,25CnqAR7fzAQbb2SVoSa0b,0.797,0.641,96.006,0.186,0.0557,0.0,4,0.815,2,292840,-6.304,0.65,1
3,1997-05-20,They Can't Take That Away From Me,Ella Fitzgerald,1V4NaFlrUCK49MXcdOcVeS,0.136,0.106,104.928,0.0683,0.87,0.0,4,0.563,3,280000,-17.402,0.368,1
4,1976,Dancing Queen,ABBA,4NtUY5IGzHCaqfZemmAu56,0.884,0.76,100.812,0.0403,0.382,0.00166,4,0.539,9,230693,-6.53,0.752,1
5,2018-11-19,De Nho Mot Thoi Ta Da Yeu,Bằng Kiều,309LDNAEkkcidQ0hfr7ZN5,0.597,0.119,94.656,0.0295,0.44,0.0,4,0.458,3,314907,-5.61,0.216,0
6,2019-07-19,How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,0.682,0.0763,110.567,0.0925,0.153,0.0,5,0.477,1,202205,-4.931,0.345,0
7,2000-09-19,A Little Gasoline,Terri Clark,3YAYui2FXhYxjK88359km2,0.655,0.12,76.7,0.0302,0.103,0.0,4,0.629,2,188640,-3.798,0.764,1
8,2019-05-17,Project Chick,Dopeboyz Of America,5gF69Mh7eoseOVAAi2TQHT,0.569,0.0942,98.976,0.34,0.0194,0.0,4,0.908,11,151240,-11.087,0.307,1
9,2003-01-01,get crunked up,jimmybeamz,3AddHrxmQyxPzkr9LzHCAs,0.614,0.0743,159.91,0.417,0.468,0.0,4,0.851,9,253293,-5.939,0.944,1
10,2006-12-15,Shortie Like Mine,Bow Wow,6oUGAx0vkBcnGzYkvw0ZsA,0.642,0.191,142.078,0.221,0.0745,0.0,4,0.758,7,268067,-8.128,0.701,0
11,2017-07-14,Can't Touch Me,Deniro Farrar,4HBkPi24HJ2zvcP9YWIXJO,0.467,0.105,170.012,0.382,0.058,1.4e-06,4,0.792,1,217010,-7.155,0.0776,1
12,2000-11-06,Oochie Wally - Remix,QB Finest,0LAlDN9m1VodUMl6Ww1cm1,0.721,0.774,93.346,0.322,0.0564,0.000842,4,0.64,7,297907,-6.955,0.714,1
13,1973-08-28,Let's Get It On,Marvin Gaye,0jHkgTtTaqg5LNCiYDQPUB,0.62,0.0559,167.141,0.0648,0.0379,1.19e-06,4,0.543,8,290960,-10.629,0.607,1
14,2001-10-29,Just A Baby Boy - Radio Edit,Tyrese,6CMr41ezXYJT0nTfT9trMh,0.717,0.355,94.822,0.209,0.0464,0.0,4,0.856,6,238000,-4.358,0.738,0
15,2000-01-01,If You Can Do Anything Else,George Strait,1PmJcgLwG1wRC5qMdjogRD,0.62,0.128,116.983,0.0268,0.601,0.000318,4,0.681,3,246667,-7.68,0.482,1
16,2001-04-24,Angry All The Time,Tim McGraw,0khUsHfJrVCu3Pn4WuzNd5,0.498,0.169,127.604,0.0266,0.195,0.0,4,0.545,2,270107,-7.286,0.363,1
17,2017-11-27,down 4 u (feat. T-Pain),blackbear,6QYKRk7uDj11qD6uNPoAQE,0.696,0.228,115.005,0.162,0.231,0.0,4,0.768,2,217564,-3.428,0.714,1
