,year,title,artist,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0,2000,A Smile In Your Heart,Ariel Rivera,034zHn5tOZLlwDxv0zy3rj,0.473,0.336,98.003,0.0247,0.692,0.0,4,0.658,5,229120,-10.021,0.57,1
1,2000,He Wasn't Man Enough,Toni Braxton,7f1Dmr246cJ9uQYdbplTbh,0.947,0.326,88.009,0.0412,0.00947,2.99e-05,4,0.739,11,261933,-1.915,0.763,0
2,2000,"The Firm: Main Title, Ray's Blues",City of Prague Orchestra,541J7UIPHH6SD5HrfjutVa,0.164,0.149,177.383,0.0571,0.986,0.894,3,0.408,0,499667,-22.343,0.184,1
3,2000,No/Don't Wake Up,Cindy Kallet,4ARqAFE8JjUg9n46eRptkr,0.0787,0.225,76.532,0.174,0.951,0.0,4,0.839,5,110453,-18.255,0.682,1
4,2000,Modern Crusaders,Enigma,65fqcmj2M1EiERwDoIflDt,0.922,0.173,114.986,0.0583,0.00422,0.206,4,0.617,11,230600,-8.565,0.314,0
5,2000,He Wasn't Man Enough,Toni Braxton,7f1Dmr246cJ9uQYdbplTbh,0.947,0.326,88.009,0.0412,0.00947,2.99e-05,4,0.739,11,261933,-1.915,0.763,0
6,2000,Working in the Coal Mine,Lee Dorsey,5GR1Jj5ahZtoR6WqyM5LP4,0.493,0.0556,142.764,0.0689,0.691,0.0,4,0.766,3,169933,-8.571,0.921,1
7,2000,Listen To The Flies,Helloween,26rgP1UQaxbdRfcEvu7qpk,0.978,0.0554,144.946,0.208,7.29e-06,0.0995,4,0.411,8,294067,-4.664,0.0887,1
8,2000,Honor and Glory,David Bauer,1okkbWaL4Nign0nmFvz49C,0.0216,0.149,116.028,0.0387,0.991,0.949,4,0.572,0,207093,-24.877,0.136,1
9,2000,Working in the Coal Mine,Lee Dorsey,5GR1Jj5ahZtoR6WqyM5LP4,0.493,0.0556,142.764,0.0689,0.691,0.0,4,0.766,3,169933,-8.571,0.921,1
10,2000,Caroline I See You,James Taylor,0etnhw0hN9uq2hkxfj58xl,0.23,0.123,93.913,0.0274,0.555,0.0195,3,0.516,7,297733,-16.069,0.132,1
11,2000,Carry Me On My Way,James Taylor,0n4TOY0V4lZA6lgqQ8Q6X3,0.292,0.0995,106.683,0.0269,0.558,0.00504,4,0.724,2,269733,-13.006,0.229,1
12,2000,Mean Old Man,James Taylor,0WqZ6MR1Xmz3MCaWA4HZ8x,0.177,0.114,89.513,0.0505,0.818,1.64e-06,4,0.525,9,220960,-15.373,0.187,1
13,2000,October Road,James Taylor,0nILp5SpecXFvJQotZe48y,0.51,0.112,144.947,0.0355,0.502,0.128,3,0.694,4,236667,-10.804,0.384,1
14,2000,On the 4th of July,James Taylor,6I8oqGgmpXTzVcB7xk2SdC,0.28,0.118,101.089,0.0378,0.661,3.72e-06,4,0.778,11,203733,-13.919,0.486,1
15,2000,"Always, In All Ways",Kenny Loggins,3oxOwJOhn29dU1smsW9klD,0.145,0.403,80.444,0.0324,0.871,1.78e-06,4,0.377,4,247333,-16.987,0.125,1
16,2000,Difficult By Design,Kylie Minogue,7JAdbrifaj8P81CjoNVjfo,0.951,0.1,126.18,0.0415,0.0131,0.0167,4,0.619,5,220667,-8.081,0.804,0
17,2000,Everything I Do Gohn Be Funky (From Now On),Lee Dorsey,4VTf5dPyBntcYFwW9b3fto,0.355,0.102,138.068,0.0564,0.324,0.014,4,0.822,3,188973,-12.444,0.873,1
18,2000,Black Velveteen,Lenny Kravitz,7ptNdKLu4PHKcma1zCAQLW,0.768,0.512,114.127,0.0569,0.000834,0.000588,4,0.6,5,290827,-6.441,0.37,1
19,2000,Mr. Cab Driver,Lenny Kravitz,1SPrdIUNZRehQbiravoPcB,0.73,0.143,133.493,0.0283,0.163,0.159,4,0.732,9,230267,-6.855,0.943,1
20,2000,Deepest Bluest,White Knight Instrumental,1eUm0m66iEq32pJnTCYhpS,0.865,0.342,189.866,0.0471,0.132,0.925,4,0.53,6,260156,-8.954,0.121,1
21,2000,He Wasn't Man Enough,Toni Braxton,7f1Dmr246cJ9uQYdbplTbh,0.947,0.326,88.009,0.0412,0.00947,2.99e-05,4,0.739,11,261933,-1.915,0.763,0
22,2000,Pour Out My Heart,Osmond Collins,7lXaXjvXdOCTqc22U46lVs,0.451,0.0613,82.004,0.156,0.033,0.0,4,0.76,8,230027,-7.975,0.733,1
23,2000,"Now We Are Free - From ""Gladiator"" Soundtrack",Lisa Gerrard,1raWfcURBd1Q3W3K0ojDCM,0.217,0.104,138.225,0.0336,0.602,0.099,4,0.286,9,254307,-18.805,0.0389,1
24,2000,Everyone's A Junkie,Our Lady Peace,4ybK6X60TURNCfVNtInRYk,0.869,0.278,159.903,0.0664,0.0649,5.56e-05,3,0.218,6,217173,-5.428,0.619,1
25,2000,R.K. 1949-97,Our Lady Peace,1C68DDl6aRUtAM3tcN1h6Q,0.334,0.243,79.552,0.0518,0.711,7.82e-05,1,0.367,3,43893,-15.716,0.461,0
26,2000,Hate To Say I Told You So,The Hives,6xxXrNJnnsQNLdgNk8S4y8,0.929,0.442,135.767,0.0549,0.00109,0.00785,4,0.451,5,199760,-5.021,0.378,1
27,2000,Minsan Lang Kitang Iibigin,Ariel Rivera,3P7PWShavgwjPiV08zzbXv,0.282,0.171,75.361,0.0286,0.634,2.07e-06,4,0.402,7,204427,-9.876,0.163,1
28,2000,Don't Even Try It,Funky DL,52TV6XQPs8wijQZLJTdwVl,0.791,0.0424,104.68,0.153,0.149,0.0158,4,0.964,4,288400,-5.341,0.795,0
29,2000,Spanish Guitar,Toni Braxton,1ieouFxB2A3JjKEt1OoEiB,0.562,0.175,120.043,0.0387,0.44,5.19e-06,4,0.624,9,289000,-6.504,0.38,0
30,2000,Bring Me Your Cup - Edit,UB40,0ffQpiShZZKtDN06L84FCJ,0.544,0.0859,150.115,0.0479,0.0025,0.000192,4,0.8,9,247618,-7.739,0.76,0
31,2000,Sleepwalk,Santo & Johnny,1u1PzGnsWKjAwSZ9Rg1kjD,0.412,0.145,184.012,0.0465,0.895,0.64,3,0.444,0,151092,-11.569,0.351,1
32,2000,You Can Get It All - Album Crossfade Version,Bow Wow,6Iw1zculZ7HlWLXPP6Dd7O,0.682,0.0932,89.019,0.177,0.308,0.0,4,0.782,11,217973,-8.119,0.693,0
33,2000,Death Letter,The White Stripes,7KstQYdoAhEUwGiAZLBVF5,0.896,0.28,94.506,0.0336,0.196,0.589,4,0.432,3,269947,-6.419,0.799,0
34,2000,I'm Bound To Pack It Up,The White Stripes,2avbiIvOsH4uTFMTjC6NUh,0.422,0.0676,88.432,0.034,0.873,1.4e-05,4,0.45,6,189973,-10.613,0.376,1
